A009;Choléra, sans précision
M6256;Atrophie et fonte musculaires, non classées ailleurs - Jambe
M6257;Atrophie et fonte musculaires, non classées ailleurs - Cheville et pied
M6258;Atrophie et fonte musculaires, non classées ailleurs - Autres
M6259;Atrophie et fonte musculaires, non classées ailleurs - Siège non précisé
M626;Foulure musculaire
M6260;Foulure musculaire - Sièges multiples
M6261;Foulure musculaire - Région scapulaire
M6262;Foulure musculaire - Bras
M6263;Foulure musculaire - Avant-bras
M6264;Foulure musculaire - Main
M6265;Foulure musculaire - Région pelvienne et cuisse
M6266;Foulure musculaire - Jambe
M6267;Foulure musculaire - Cheville et pied
M6268;Foulure musculaire - Autres
M6269;Foulure musculaire - Siège non précisé
M628;Autres atteintes musculaires précisées
M6280;Autres atteintes musculaires précisées - Sièges multiples
M6281;Autres atteintes musculaires précisées - Région scapulaire
M6282;Autres atteintes musculaires précisées - Bras
M6283;Autres atteintes musculaires précisées - Avant-bras
M6284;Autres atteintes musculaires précisées - Main
M6285;Autres atteintes musculaires précisées - Région pelvienne et cuisse
M6286;Autres atteintes musculaires précisées - Jambe
M6287;Autres atteintes musculaires précisées - Cheville et pied
M6288;Autres atteintes musculaires précisées - Autres
M6289;Autres atteintes musculaires précisées - Siège non précisé
M62890;Rhabdomyolyse
M62898;Autres atteintes musculaires précisées, non classées ailleurs - Siège non précisé
M629;Atteinte musculaire, sans précision
M6290;Atteinte musculaire, sans précision - Sièges multiples
M6291;Atteinte musculaire, sans précision - Région scapulaire
M6292;Atteinte musculaire, sans précision - Bras
M6293;Atteinte musculaire, sans précision - Avant-bras
M6294;Atteinte musculaire, sans précision - Main
M6295;Atteinte musculaire, sans précision - Région pelvienne et cuisse
M6296;Atteinte musculaire, sans précision - Jambe
M6297;Atteinte musculaire, sans précision - Cheville et pied
M6298;Atteinte musculaire, sans précision - Autres
M6299;Atteinte musculaire, sans précision - Siège non précisé
M630;Myosite au cours de maladies bactériennes classées ailleurs
M631;Myosite au cours d'infections parasitaires et à protozoaires classées ailleurs
M632;Myosite au cours d'autres maladies infectieuses classées ailleurs
M633;Myosite au cours de sarcoïdose (D86.8)
M638;Autres atteintes musculaires au cours de maladies classées ailleurs
M650;Abcès de la gaine du tendon
M6500;Abcès de la gaine du tendon - Sièges multiples
M6503;Abcès de la gaine du tendon - Avant-bras
M6504;Abcès de la gaine du tendon - Main
M6507;Abcès de la gaine du tendon - Cheville et pied
M6509;Abcès de la gaine du tendon - Siège non précisé
M651;Autres (téno)synovites infectieuses
M6510;Autres (téno)synovites infectieuses - Sièges multiples
M6511;Autres (téno)synovites infectieuses - Région scapulaire
M6512;Autres (téno)synovites infectieuses - Bras
M6513;Autres (téno)synovites infectieuses - Avant-bras
M6514;Autres (téno)synovites infectieuses - Main
M6515;Autres (téno)synovites infectieuses - Région pelvienne et cuisse
M6516;Autres (téno)synovites infectieuses - Jambe
M6517;Autres (téno)synovites infectieuses - Cheville et pied
M6518;Autres (téno)synovites infectieuses - Autres
M6519;Autres (téno)synovites infectieuses - Siège non précisé
M652;Tendinite calcifiante
M6520;Tendinite calcifiante - Sièges multiples
M6522;Tendinite calcifiante - Bras
M6523;Tendinite calcifiante - Avant-bras
M6524;Tendinite calcifiante - Main
M6525;Tendinite calcifiante - Région pelvienne et cuisse
M6526;Tendinite calcifiante - Jambe
M6527;Tendinite calcifiante - Cheville et pied
M6528;Tendinite calcifiante - Autres
M6529;Tendinite calcifiante - Siège non précisé
M653;"Doigt ""à ressort"""
M6530;"Doigt ""à ressort"" - Sièges multiples"
M6534;"Doigt ""à ressort"" - Main"
M654;Ténosynovite chronique sténosante du pouce [de Quervain]
M6540;Ténosynovite chronique sténosante du pouce (de Quervain) - Sièges multiples
M6544;Ténosynovite chronique sténosante du pouce (de Quervain) - Main
M658;Autres synovites et ténosynovites
M6580;Autres synovites et ténosynovites - Sièges multiples
M6581;Autres synovites et ténosynovites - Région scapulaire
M6582;Autres synovites et ténosynovites - Bras
M6583;Autres synovites et ténosynovites - Avant-bras
M6584;Autres synovites et ténosynovites - Main
M6585;Autres synovites et ténosynovites - Région pelvienne et cuisse
M6586;Autres synovites et ténosynovites - Jambe
M6587;Autres synovites et ténosynovites - Cheville et pied
M6588;Autres synovites et ténosynovites - Autres
M6589;Autres synovites et ténosynovites - Siège non précisé
M659;Synovite et ténosynovite, sans précision
M6590;Synovite et ténosynovite, sans précision - Sièges multiples
M6591;Synovite et ténosynovite, sans précision - Région scapulaire
M6592;Synovite et ténosynovite, sans précision - Bras
M6593;Synovite et ténosynovite, sans précision - Avant-bras
M6594;Synovite et ténosynovite, sans précision - Main
M6595;Synovite et ténosynovite, sans précision - Région pelvienne et cuisse
M6596;Synovite et ténosynovite, sans précision - Jambe
M6597;Synovite et ténosynovite, sans précision - Cheville et pied
M6598;Synovite et ténosynovite, sans précision - Autres
M6599;Synovite et ténosynovite, sans précision - Siège non précisé
M660;Déchirure d'un kyste poplité
M6600;Déchirure d'un kyste poplité - Sièges multiples
M6606;Déchirure d'un kyste poplité - Jambe
M661;Déchirure de la synoviale
M6610;Déchirure de la synoviale - Sièges multiples
M6611;Déchirure de la synoviale - Région scapulaire
M6612;Déchirure de la synoviale - Bras
M6613;Déchirure de la synoviale - Avant-bras
M6614;Déchirure de la synoviale - Main
M6615;Déchirure de la synoviale - Région pelvienne et cuisse
M6617;Déchirure de la synoviale - Cheville et pied
M6618;Déchirure de la synoviale - Autres
M6619;Déchirure de la synoviale - Siège non précisé
M662;Déchirure spontanée des tendons extenseurs
M6620;Déchirure spontanée des tendons extenseurs - Sièges multiples
M6621;Déchirure spontanée des tendons extenseurs - Région scapulaire
M6622;Déchirure spontanée des tendons extenseurs - Bras
M6623;Déchirure spontanée des tendons extenseurs - Avant-bras
M6624;Déchirure spontanée des tendons extenseurs - Main
M6625;Déchirure spontanée des tendons extenseurs - Région pelvienne et cuisse
M6626;Déchirure spontanée des tendons extenseurs - Jambe
M6627;Déchirure spontanée des tendons extenseurs - Cheville et pied
M6628;Déchirure spontanée des tendons extenseurs - Autres
M6629;Déchirure spontanée des tendons extenseurs - Siège non précisé
M663;Déchirure spontanée des tendons fléchisseurs
M6630;Déchirure spontanée des tendons fléchisseurs - Sièges multiples
M6631;Déchirure spontanée des tendons fléchisseurs - Région scapulaire
M6632;Déchirure spontanée des tendons fléchisseurs - Bras
M6633;Déchirure spontanée des tendons fléchisseurs - Avant-bras
M6634;Déchirure spontanée des tendons fléchisseurs - Main
M6635;Déchirure spontanée des tendons fléchisseurs - Région pelvienne et cuisse
M6636;Déchirure spontanée des tendons fléchisseurs - Jambe
M6637;Déchirure spontanée des tendons fléchisseurs - Cheville et pied
M6638;Déchirure spontanée des tendons fléchisseurs - Autres
M6639;Déchirure spontanée des tendons fléchisseurs - Siège non précisé
M664;Déchirure spontanée d'autres tendons
M6640;Déchirure spontanée d'autres tendons - Sièges multiples
M6641;Déchirure spontanée d'autres tendons - Région scapulaire
M6642;Déchirure spontanée d'autres tendons - Bras
M6643;Déchirure spontanée d'autres tendons - Avant-bras
M6644;Déchirure spontanée d'autres tendons - Main
M6645;Déchirure spontanée d'autres tendons - Région pelvienne et cuisse
M6646;Déchirure spontanée d'autres tendons - Jambe
M6647;Déchirure spontanée d'autres tendons - Cheville et pied
M6648;Déchirure spontanée d'autres tendons - Autres
M6649;Déchirure spontanée d'autres tendons - Siège non précisé
M665;Déchirure spontanée d'un tendon, sans précision
M6650;Déchirure spontanée d'un tendon, sans précision - Sièges multiples
M6651;Déchirure spontanée d'un tendon, sans précision - Région scapulaire
M6652;Déchirure spontanée d'un tendon, sans précision - Bras
M6653;Déchirure spontanée d'un tendon, sans précision - Avant-bras
M6654;Déchirure spontanée d'un tendon, sans précision - Main
M6655;Déchirure spontanée d'un tendon, sans précision - Région pelvienne et cuisse
M6656;Déchirure spontanée d'un tendon, sans précision - Jambe
M6657;Déchirure spontanée d'un tendon, sans précision - Cheville et pied
M6658;Déchirure spontanée d'un tendon, sans précision - Autres
M6659;Déchirure spontanée d'un tendon, sans précision - Siège non précisé
M670;Brièveté du tendon d'Achille (acquise)
M671;Autres rétractions tendineuses (gaine)
M672;Hypertrophie synoviale, non classée ailleurs
M673;Synovite transitoire
M674;Kyste (articulaire)
M678;Autres atteintes précisées de la synoviale et du tendon
M679;Atteinte de la synoviale et du tendon, sans précision
M680;Synovite et ténosynovite au cours de maladies bactériennes classées ailleurs
M688;Autres atteintes de la synoviale et du tendon au cours de maladies classées ailleurs
M700;Synovite sèche de la main et du poignet
M7000;Synovite sèche de la main et du poignet - Sièges multiples
M7003;Synovite sèche de la main et du poignet - Avant-bras
M7004;Synovite sèche de la main et du poignet - Main
M701;Bursite de la main
M7010;Bursite de la main - Sièges multiples
M7014;Bursite de la main - Main
M702;Bursite olécrânienne
M7020;Bursite olécrânienne - Sièges multiples
M7022;Bursite olécrânienne - Bras
M703;Autres bursites du coude
M7030;Autres bursites du coude - Sièges multiples
M7032;Autres bursites du coude - Bras
M704;Bursite prépatellaire
M7040;Bursite prépatellaire - Sièges multiples
M7046;Bursite prépatellaire - Jambe
M705;Autres bursites du genou
M7050;Autres bursites du genou - Sièges multiples
M7056;Autres bursites du genou - Jambe
M706;Bursite trochantérienne
M7060;Bursite trochantérienne - Sièges multiples
M7065;Bursite trochantérienne - Région pelvienne et cuisse
M707;Autres bursites de la hanche
M7070;Autres bursites de la hanche - Sièges multiples
M7075;Autres bursites de la hanche - Région pelvienne et cuisse
M708;Autres affections des tissus mous par sollicitation excessive
M7080;Autres affections des tissus mous par sollicitation excessive - Sièges multiples
M7087;Autres affections des tissus mous par sollicitation excessive - Cheville et pied
M7088;Autres affections des tissus mous par sollicitation excessive - Autres
M7089;Autres affections des tissus mous par sollicitation excessive - Siège non précisé
M709;Affection des tissus mous par sollicitation excessive, sans précision
M7090;Affection des tissus mous par sollicitation excessive, sans précision - Sièges multiples
M7091;Affection des tissus mous par sollicitation excessive, sans précision - Région scapulaire
M7092;Affection des tissus mous par sollicitation excessive, sans précision - Bras
M7093;Affection des tissus mous par sollicitation excessive, sans précision - Avant-bras
M7094;Affection des tissus mous par sollicitation excessive, sans précision - Main
M7095;Affection des tissus mous par sollicitation excessive, sans précision - Région pelvienne et cuisse
M7096;Affection des tissus mous par sollicitation excessive, sans précision - Jambe
M7097;Affection des tissus mous par sollicitation excessive, sans précision - Cheville et pied
M7098;Affection des tissus mous par sollicitation excessive, sans précision - Autres
M7099;Affection des tissus mous par sollicitation excessive, sans précision - Siège non précisé
M710;Abcès des bourses séreuses
M7100;Abcès des bourses séreuses - Sièges multiples
M7101;Abcès des bourses séreuses - Région scapulaire
M7102;Abcès des bourses séreuses - Bras
M7103;Abcès des bourses séreuses - Avant-bras
M7104;Abcès des bourses séreuses - Main
M7105;Abcès des bourses séreuses - Région pelvienne et cuisse
M7106;Abcès des bourses séreuses - Jambe
M7107;Abcès des bourses séreuses - Cheville et pied
M7108;Abcès des bourses séreuses - Autres
M7109;Abcès des bourses séreuses - Siège non précisé
M711;Autres bursites infectieuses
M7110;Autres bursites infectieuses - Sièges multiples
M7111;Autres bursites infectieuses - Région scapulaire
M7112;Autres bursites infectieuses - Bras
M7113;Autres bursites infectieuses - Avant-bras
M7114;Autres bursites infectieuses - Main
M7115;Autres bursites infectieuses - Région pelvienne et cuisse
M7116;Autres bursites infectieuses - Jambe
M7117;Autres bursites infectieuses - Cheville et pied
M7118;Autres bursites infectieuses - Autres
M7119;Autres bursites infectieuses - Siège non précisé
M712;Kyste synovial poplité [Baker]
M7120;Kyste synovial poplité (Baker) - Sièges multiples
M7126;Kyste synovial poplité (Baker) - Jambe
